Organization,Followed On
Power BI Visualization,Sun Oct 23 07:26:29 UTC 2022
Excel King,Sun Oct 23 07:26:27 UTC 2022
"Aruba, a Hewlett Packard Enterprise company",Mon Sep 20 09:58:20 UTC 2021
HP,Fri Jun 04 05:55:00 UTC 2021
Management & Strategy Institute,Wed Jun 02 12:52:35 UTC 2021
Hewlett Packard Enterprise,Mon May 31 06:32:14 UTC 2021
Applied Materials India,Thu May 27 09:34:15 UTC 2021
Arrow Electronics,Mon May 24 02:32:28 UTC 2021
Dell Technologies,Fri May 14 15:35:33 UTC 2021
Mast Global,Wed May 12 12:12:49 UTC 2021
PwC Acceleration Centers,Mon Apr 26 18:36:53 UTC 2021
Siemens,Fri Apr 23 05:35:34 UTC 2021
Accenture,Fri Apr 23 05:35:18 UTC 2021
Tryg,Fri Apr 16 04:45:25 UTC 2021
EY,Sat Apr 10 16:47:31 UTC 2021
Tata Consultancy Services,Sun Mar 24 10:03:38 UTC 2019
Infosys BPM,Thu Jan 31 06:48:51 UTC 2019
"Dr. B.B. Hegde First Grade College, Near Mookambika Industries, Kundapura--576201",Tue Jan 22 15:24:02 UTC 2019
